#Approved Symbol	Previous Symbols	Synonyms
A1BG		
A2M		FWP007, S863-7, CPAMD5
A2MP1	A2MP	
AACP		NATP
SERPINA3	AACT	ACT, alpha-1-antichymotrypsin
AADAC		DAC, CES5A1
AAMP		
AANAT		SNAT
AARS		
AATK		AATYK, KIAA0641, LMTK1, LMR1, AATYK1
AAVS1		AAV
ABAT		GABAT
ABCA1	ABC1, HDLDT1	TGD
ABCA10		EST698739
ABCA11P	ABCA11	EST1133530, FLJ14297
ABCA2	ABC2	
ABCA3	ABC3	ABC-C, EST111653, LBM180
ABCA4	STGD1, ABCR, RP19, STGD	FFM, ARMD2, CORD3
ABCA5		EST90625
ABCA6		EST155051
ABCA7		ABCX
ABCA8		KIAA0822
ABCA9		EST640918
ABCB1	PGY1, MDR1, CLCS	P-gp, CD243, GP170, ABC20
ABCB10		EST20237, M-ABC2, MTABC2
ABCB11	BSEP, PFIC2	ABC16, SPGP, PFIC-2, PGY4
TAP1	ABCB2	PSF1, RING4, D6S114E
TAP2	ABCB3	PSF2, RING11, D6S217E
ABCB4	PGY3, MDR3	MDR2, PFIC-3, GBD1
ABCB5		EST422562, ABCB5beta, ABCB5alpha
ABCB6		EST45597, umat, MTABC3
ABCB7	ABC7	EST140535, Atm1p, ASAT
ABCB8		EST328128, M-ABC1, MABC1
ABCB9		EST122234
ABCC1	MRP, MRP1	GS-X
ABCC10		EST182763, MRP7, SIMRP7
ABCC2	CMOAT	DJS, MRP2, cMRP
ABCC3		MRP3, cMOAT2, EST90757, MLP2, MOAT-D
ABCC4		MRP4, EST170205, MOAT-B, MOATB
ABCC5		MRP5, SMRP, EST277145, MOAT-C
ABCC6	ARA, PXE	MRP6, EST349056, MLP1, URG7
ABCC8	SUR, HRINS	HI, PHHI, SUR1, MRP8, ABC36, HHF1, TNDM2
ABCC9		SUR2, CMD1O
ABCD1	ALD	AMN, ALDP, adrenoleukodystrophy
ABCD1P1		
ABCD1P2		bA453N3.6
ABCD1P3		
ABCD1P4		
ABCD2	ALDL1	ALDR, ALDRP
ABCD3	PXMP1	PMP70, ZWS2
ABCD4	PXMP1L	PMP69, P70R, EST352188
ABCE1	RNASEL1, RNASELI, RNS4I	RLI, OABP
ABCF1	ABC50	EST123147
ABCF2		EST133090, ABC28, M-ABC1, HUSSY-18
ABCF3		EST201864
ABCG1		ABC8
ABCG2		EST157481, MXR, BCRP, ABCP, CD338
ABL1	ABL	JTK7, c-ABL, p150
ABL2	ABLL	ARG
ABLIM1	LIMAB1, ABLIM	abLIM, limatin
ABO		A3GALNT, A3GALT1
ABP1		AOC1, DAO
ABR		MDB
ACAA1		
ACAA2		DSAEC
ACACA	ACAC, ACC	ACC1
ACACB		HACC275, ACC2, ACCB
ACAD8		
ACADL		LCAD, ACAD4
ACADM		MCAD, MCADH, ACAD1
ACADS		SCAD, ACAD3
ACADSB		SBCAD, ACAD7
ACADVL		VLCAD, LCACD, ACAD6
ACAT1	ACAT	THIL
ACAT2		
SLC33A1	ACATN, SPG42	AT-1, AT1
ASIC2	ACCN, ACCN1	ASIC2a, BNC1, BNaC1, hBNaC1, MDEG
ASIC1	ACCN2	BNaC2, hBNaC2
ASIC3	ACCN3	TNaC1, DRASIC
CNNM1	ACDP1	
CNNM2	ACDP2	
CNNM3	ACDP3	
CNNM4	ACDP4	KIAA1592
ACHE	YT	
ACLS		
ACLY		ATPCL, CLATP, ACL
ACO1	IREB1	IRP1, IREBP
ACO2		ACONM
ACOX1		PALMCOX
ACOX2		BRCACOX, BRCOX, THCCox
ACOX3		
ACP1		
ACP2		
ACP5		TRAP
ACPP		ACP3, ACP-3
ACR		
ACRV1		SPACA2, SP-10, D11S4365
ACTA1	ACTA	NEM3
ACTA2		ACTSA
ACTB		
POTEH	ACTBL1, A26C3	POTE22, CT104.7
ACTBP1		
ACTBP2		
ACTBP3		
ACTBP4		
ACTBP6		
ACTBP7		
ACTBP8		ACTBP2
ACTBP9		
ACTC1	ACTC	CMD1R
ACTG1	ACTG, DFNA20, DFNA26	
ACTG2	ACTL3, ACTA3	ACTSG
ACTG1P1	ACTGP1, ACT1GP1	
ACTG1P2	ACTL2, ACTGP2	
ACTG1P3	ACTGP3	
ACTG1P4	ACTGP4	
ACTBP12	ACTGP5	
ACTG1P6	ACTGP6	
ACTG1P7	ACTGP7	
ACTG1P8	ACTGP8	
ACTG1P9	ACTGP9	
ACTG1P10	ACTL1, ACTGP10	
ACTL6B	ACTL6	BAF53B
ACTL7A		
ACTL7B		Tact1
ACTN1		
ACTN2		
ACTN3		
ACTN4	FSGS1	
ACTR1A		ARP1
ACTR1B	CTRN2	
ACTR2		ARP2
ACTR3		ARP3
ACVR1	ACVRLK2	SKR1, ALK2, ACVR1A
ACVR1B	ACVRLK4	ALK4, SKR2, ActRIB
ACVR2A	ACVR2	ACTRII
ACVR2B		ActR-IIB
ACVRL1	ACVRLK1, ORW2	HHT2, ALK1, HHT
ACY1		
ACYP1		
ACYP2		
AD5		
ADA		
ADAM1A	ADAM1	FTNAP, PH-30a, Ftna, ADAM1P
ADAM10		kuz, MADM, HsT18717, CD156c
ADAM11	MDC	
ADAM12		MCMPMltna, MLTN
ADAM15		MDC15
ADAM17	TACE	cSVP, CD156B
ADAM18		tMDCIII, ADAM27
ADAM19		MLTNB
ADAM2	FTNB	PH-30b, PH30, CT15
ADAM20		
ADAM21		ADAM31
ADAM22		MDC2
ADAM23		MDC3
ADAM24P		
ADAM28		eMDCII, MDC-Lm, MDC-Ls, ADAM23
ADAM29		svph1, CT73
ADAM30		svph4
ADAM3A	CYRN1	ADAM3, tMDCI
ADAM3B	CYRN2	
ADAM5	ADAM5P	tMDCII
